job_title,company,job_location,search_city,search_country,job_level,branch,job_skills,last_processed_time,url
Cán Bộ Hồ Sơ Thanh Quyết Toán - Dự Án Sân Bay Long Thành,Công Ty CP Hóa Chất Xây Dựng Bách Khoa,"Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",HN,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Hành chính - Thư ký, Quản lý tiêu chuẩn và chất lượng","- Độ tuổi yêu cầu : 25- 45 tuổi- Ưu tiên ứng viên có kinh nghiệm ở vị trí liên quan, chưa có kinh nghiệm được hỗ trợ đào tạo bài bản- Kỹ năng lập kế hoạch.- Kỹ năng quản lý dự án, lập dự toán, lập hồ sơ thầu- Sử dụng thành thạo tin học văn phòng",24/03/2025 08:36,https://vieclam24h.vn/xay-dung/can-bo-ho-so-thanh-quyet-toan-du-an-san-bay-long-thanh-c31p120id200532381.html?open_from=0201_1_1&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Tiếp Thị Thiết Bị Nội Thất Cho Nhà Hàng Khách Sạn,Công Ty TNHH Đầu Tư Xây Dựng Quân Đạt,"Số 7 đường số 12 KDC Cityland, Phường 10, Gò Vấp, TP HCM",TP HCM,Việt Nam,Chuyên viên- nhân viên,"Khách sạn - Nhà hàng - Du lịch, Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng","- Tự tin, hướng ngoại - Có tố chất kinh doanh.- Chịu khó, đam mê công việc.- Kinh nghiệm 1 năm ở vị trí tương đương.- Sức khỏe tốt, cẩn thận, trách nhiệm cao với công việc, trung thực, thẳng thắn.",24/03/2025 08:35,https://vieclam24h.vn/khach-san-nha-hang-du-lich/nhan-vien-tiep-thi-thiet-bi-noi-that-cho-nha-hang-khach-san-c5p122id200532402.html?open_from=0201_1_2&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Thị Trường - Thu Nhập 50 Triệu,Công Ty TNHH Fusion Group,"Số 18, Tăng Nhơn Phú, Phường Phước Long B, Thành Phố Thủ Đức, Hồ Chí Minh",Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Bán sỉ - Bán lẻ - Quản lý cửa hàng, Marketing","Nam/nữ: 20-35 tuổi, Sức khoẻ tốtTrình độ: Tốt nghiệp Đại Học trở lênKỹ năng:+ Có kiến thức về Sale, bán hàng+ Khả năng thuyết phục, đám phán với khách hàng.+ Giao tiếp tốt, Hoạt ngôn, trung thực, đam mê kinh doanhƯu tiên: Ứng viên từng làm việc trong mảng Pet food hoặc ứng viên từng học chuyên ngành thú y.Kinh nghiệm từng làm nhân viên kinh doanh thị trường từ 6 tháng - tới 1 nămTốt nghiệp đại học nông lâm hoặc các trường liên quan đến thú y là 1 lợi thế",24/03/2025 08:35,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thi-truong-thu-nhap-50-trieu-c13p122id200525261.html?open_from=0201_1_3&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kỹ Sư Phụ Trách Hồ Sơ Thanh Quyết Toán,Công ty CP đá Granite & Marble Tự Nhiên Thiên Sơn,"Lô 22 C2, Khu đô thị Nam Trung Yên, Cầu Giấy, Hà Nội, Cầu Giấy",Cầu Giấy,Việt Nam,Chuyên viên- nhân viên,"Xây dựng, Quản lý dự án, Điện - Điện tử - Điện lạnh","- Chúng tôi mong muốn tìm được những ứng viên có nhiệt huyết với công việc, tinh thần chiến đấu cao, quyết tâm đạt được những thành tựu lớn trong sự nghiệp của mình.- Đặc biệt đề cao tính tự giác, trách nhiệm cao trong công việc, làm gương sáng cho mọi người noi theo, luôn suy nghĩ và phấn đấu hết mình để hoàn thành công việc một cách xuất sắc. - Hoàn cảnh gia đình – Lí lịch rõ ràng; Cam kết gắn bó lâu dài với công ty; Sức khoẻ, chịu khó, trung thực và cầu tiến.- Tuổi tuyển dụng: 24 - 35 tuổi. Trình độ Cao Đẳng Xây Dựng, Đại học XD trở lên, có ít nhất 03 năm kinh nghiệm trở lên, đã làm công việc tương tự, và khả năng làm việc độc lập thật sự.",24/03/2025 08:35,https://vieclam24h.vn/xay-dung/ky-su-phu-trach-ho-so-thanh-quyet-toan-c31p73id200521787.html?open_from=0201_1_4&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Kinh Doanh Nội Thất (Không Yêu Cầu Kinh Nghiệm),Công Ty Cổ Phần Kiến Trúc Kẻ Vẽ,"Tầng 7, Tòa nhà D' Office số 28 đường Thành Thái, Quận Cầu Giấy, TP. Hà Nội",TP. Hà Nội,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Kiến trúc - Thiết kế nội ngoại thất, Chăm sóc khách hàng","- Không yêu cầu kinh nghiệm. Ưu tiên ứng viên có kinh nghiệm làm NVKD về bất động sản, bảo hiểm, ô tô hoặc bán hàng nói chung; - Tuổi từ 21 – 28 tuổi.- Yêu thích cái đẹp và đam mê kinh doanh;- Có laptop cá nhân, xe máy và điện thoại smartphone;- Nhạy bén, chăm chỉ và ham học hỏi về kiến thức và kỹ năng cho công việc;- Kỹ năng giao tiếp, thuyết phục, đàm phán tốt",24/03/2025 08:35,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-noi-that-khong-yeu-cau-kinh-nghiem-c13p73id200530230.html?open_from=0201_1_5&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Giám Sát Cơ Điện Lương 15- 20 Triệu,Công Ty TNHH Một Thành Viên Du Lịch Giải Trí Thiên Đường Bảo Sơn,Km 5+200 - Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Km 5+200 - Đường Lê Trọng Tấn - An Khánh - Hoài Đức - Hà Nội,Việt Nam,Quản lý nhóm- giám sát,"Điện - Điện tử - Điện lạnh, Cơ khí - Ô tô - Tự động hóa, Khoa học - Kỹ thuật","- Tốt nghiệp đại học, cao đẳng chuyên ngành kỹ thuật, - Có 3 đến 5 năm kinh nghiệm thực tế thi công, chế tạo, sửa chữa về cơ điện",24/03/2025 08:35,https://vieclam24h.vn/dien-dien-tu-dien-lanh/giam-sat-co-dien-luong-15-20-trieu-c41p73id200525942.html?open_from=0201_1_6&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Thủ Kho - Củ Chi (Đi Làm Ngay),Công Ty Cổ Phần Hóa Dầu Sài Gòn,"Số 640, Đường Tỉnh Lộ 7, Ấp Mỹ Khánh B, Xã Thái Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh",Thành phố Hồ Chí Minh,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Kế toán, Sản xuất - Lắp ráp - Chế biến",• Tốt nghiệp Trung Cấp trở lên • Biết sử dụng phần mềm MISA là 1 lợi thế .• Kinh nghiệm ít nhất 02 năm trở lên,24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-thu-kho-cu-chi-di-lam-ngay-c13p122id200531362.html?open_from=0201_1_7&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Kỹ Sư Giám Sát Điện - Cơ - Xây Dựng (Lương Cứng 15 - 20 Triệu) - Đi Làm Ngay,Công Ty Cổ Phần Tập Đoàn Công Nghiệp Việt,"Tầng 8 - Tòa nhà Sliver Wings 137A Nguyễn Văn Cừ, Long Biên, Hà Nội, Việt Nam",Việt Nam,Việt Nam,Chuyên viên- nhân viên,"Điện - Điện tử - Điện lạnh, Cơ khí - Ô tô - Tự động hóa, Xây dựng","1. Kiến thức và kinh nghiệm- Trình độ học vấn: Tốt nghiệp Đại học các chuyên ngành liên quan- Kinh nghiệm: Có ít nhất 1 năm kinh nghiệm giám sát thi công thực tế- Am hiểu kiến thức về các quy chuẩn, tiêu chuẩn kỹ thuật.2. Kỹ năng- Kỹ năng giao tiếp: có khả năng giao tiếp với Chủ đầu tư, nhà thầu, nội bộ...- Kỹ năng lập kế hoạch, quản lý công việc- Kỹ năng giải quyết vấn đề- Kỹ năng làm việc nhóm- Kỹ năng lập báo cáo3. Thái độ - Trách nhiệm- Trung thực- Cẩn thận- Tính sẵn sàng cao4. Yêu cầu khác - Giới tính: Nam- Độ tuổi: từ 23 – 35 tuổi- Yêu cầu đặc thù công việc:+ Có sức khỏe tốt, có thể giám sát thi công với điều kiện thời tiết nắng, mưa+ Khả năng thích nghi nhanh với môi trường làm việc và quy trình làm việc mới.- Thời gian thử việc 02 tháng",24/03/2025 08:34,https://vieclam24h.vn/dien-dien-tu-dien-lanh/ky-su-giam-sat-dien-co-xay-dung-luong-cung-15-20-trieu-di-lam-ngay-c41p83id200531857.html?open_from=0201_1_8&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Trưởng  Phòng Kinh Doanh Thu Nhập 50- 300 Triệu / Tháng,Công Ty Cổ Phần Bất Động Sản Thế Kỷ,"Tầng 1, Tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống đa, Hà Nội",Hà Nội,Việt Nam,Quản lý cấp trung,"Bán hàng - Kinh doanh, Bất động sản, Tài chính - Đầu tư - Chứng Khoán","Tốt nghiệp Đại Học. Có kinh nghiệm ít nhất 3 -5 năm quản lý kinh doanh. Ưu tiên ứng viên quản lý cấp cao từ bảo hiểm, ngân hàng, tài chính Kỹ năng quản trị nhân sự, xây dựng hệ thống, kỹ năng đào tạo. Có kiến thức về BĐS và các kênh đầu tư.",24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/truong-phong-kinh-doanh-thu-nhap-50-300-trieu-thang-c13p73id200524708.html?open_from=0201_1_9&search_id=33cbe760ec9e067ed7e5c0921a2a6987
Nhân Viên Sale Phát Triển Thị Trường,Công Ty Cổ Phần Nanucare,"Hà Nội: 36A Galaxy 1, Khu Ngân Hà Vạn Phúc, Phường Vạn Phúc, Hà Đông",Hà Đông,Việt Nam,Chuyên viên- nhân viên,"Bán hàng - Kinh doanh, Y tế - Chăm sóc sức khỏe","- Có kinh nghiệm sale thị trường ,phát triển đại lý, ưu tiên ngành hàng tiêu dùng, thực phẩm chức năng, làm đẹp, sản phẩm dinh dưỡng, thực phẩm bổ sung,- Kỹ năng giao tiếp, quản lý công việc, đàm phán tốt,- Nhanh nhẹn chịu khó, chủ động trong công việc, sẵn sàng đi thị trường- Có tinh thần phấn đấu và cố gắng hết mình để đạt được kết quả được giao- Có kiến thức và network phân phối về mảng sức khỏe, dinh dưỡng, làm đẹp là một lợi thế.",24/03/2025 08:34,https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-sale-phat-trien-thi-truong-c13p73id200531991.html?open_from=0201_1_10&search_id=33cbe760ec9e067ed7e5c0921a2a6987
