job_skills,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,summary,first_seen,search_city,search_country,search_position,job_level,job_type
"Java, C#, Japanese N4, SQL, .NET",2025-03-20,"●　Quản lý dự án, phân công công việc cho các thành viên trong dự án.",False,False,Technical Leader for Japan Market,"ISV Vietnam Co.,ltd","29 Đường Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam",,04/03/2025,,Việt Nam,,,
"Software Engineering, SQL, Java, C/C++, Python",2025-03-04," (văn phòng nghiên cứu và phát triển các sản phẩm tai nghe bluetooh, headphone, tai nghe có dây, dây cáp) mở rộng quy mô nên cần tuyển 02 Software Engineering",False,False,Software Engineering - Kỹ Sư Phần Mềm,Công Ty TNHH Cresyn Hà Nội,"3rd floor, building N04B-T1, Ngoai Giao Doan Area, Xuan Tao Ward, Bac Tu Liem, Hanoi",,24/02/2025,,Việt Nam,,,
"C/C++, Phát Triển Phần Mềm, Git/Gerrit, OOP, Design Patterns",2025-03-20,"Following research centers in Korea, USA, Russia, India, etc. LG CTO Vietnam Software Lab (LG CTO VSL) officially operated in Vietnam from July 2022 with the mission of developing next generations of technology and incubating new LG business in the future. You will have the opportunity to work, share and learn with talented engineers at CTO centers in countries around the world and launch strategic-oriented technology products of LG Corporation. ",False,False,C/C++ Software Engineer,LG Electronics Development Viet Nam Company Limited,"21F Office Building, Lotte Mall Hanoi, No. 272 Vo Chi Cong, Phu Thuong Ward, Tay Ho District, Hanoi",,04/03/2025,,Việt Nam,,,
"AWS, AWS, Backend, Backend, Java System, SQL",2025-04-01,"- In this role, you will a senior Java backend developer of a team. You will help Java back-end team and work in project team with other sub-teams (front-end, mobile, DevOps, BA) and partner closely with our clients on a wide variety of collaborative and innovative engagements.",False,False,Java Backend Senior Developer,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",,10/03/2025,,Việt Nam,,,
"Agile Scrum, Cloud, Infrastructure, Microservices, Project Management",2025-03-10,1.	Xây dựng kiến trúc ứng dụng mục tiêu và lộ trình đầu tư công nghệ cho các hệ thống ứng dụng CNTT phù hợp với chiến lược kinh doanh của ngân hàng.,False,False,Chuyên Gia Kiến Trúc và Giải Pháp Ứng Dụng - K.CNTT,Ngân Hàng TMCP Đại Chúng Việt Nam,"Hà Nội, Vietnam",,27/02/2025,,Việt Nam,,,
"APIs, Full-Stack Js, JavaScript, ReactJs, System Control",2025-04-07,"As a Full-Stack Engineer, you will be responsible for the design, development, and maintenance of both the backend and frontend systems that support robot control, monitoring, and configuration. You will work on APIs, GUIs, and cloud-based solutions that ensure seamless communication and interaction with autonomous robots.",False,False,Full-Stack Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,"TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",,13/03/2025,,Việt Nam,,,
"Analytical Skills, C++, MATLAB, Motion Control, Control Algorithms",2025-04-07,• Control and Simulation algorithms for humanoid robots.,False,False,Control And Simualtion Engineer – Humanoid Robot Design,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,"TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",,13/03/2025,,Việt Nam,,,
"C++, People Leadership, Slam Expertise, Linux System Optimization, High-Performance Computing",2025-04-07,"As a Software Engineer, you will be responsible for designing, developing, and implementing solutions for SLAM programs, localization, and navigation for robots ….",False,False,Robotics Software Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,"TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",,13/03/2025,,Việt Nam,,,
"Software Development, Software Design, Spring, Apache, ReactJS",2025-04-09,"1.	Design, develop, and review technical solutions that meet the business requirements, improve the system performance, and resolve the existing bugs in the applications.",False,False,Senior Software Engineer & Development,BIDV Metlife Life Insurance LLC,"Tầng 3A, tòa VCCI Tower, số 9 Đào Duy Anh - Phường Phương Mai - Quận Đống đa - Hà Nội",,14/03/2025,,Việt Nam,,,
"Model Tuning, PyTorch, Reinforcement Learning, Robotic Design, Production-Quality Code",2025-04-07,"• Develop, train, and deploy reinforcement learning algorithms for robotic motion and manipulation tasks.",False,False,Robot Learning Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,"TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",,13/03/2025,,Việt Nam,,,
"Analytical Skills, Business analysis, Data Analysis, Embedded Systems, Robotics",2025-04-07,Job summary:,False,False,Robotics Business Analyst Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,"TechnoPark Tower, Vinhomes Ocean Park, Đa Tốn, Gia Lâm, Hà Nội, Việt Nam",,13/03/2025,,Việt Nam,,,
"ERP, IT Project Management, IT Application, SQL, ICT Solutions",2025-02-24,"As a IT Application Specialist within Danieli Vietnam ICT Team, you will be responsible for Software/Tools Implementation in company, fit-gap analysis as well as looking for development opportunities, improving available processes, you will function as the connector between business needs and technology ensure that we are always working on the things that create value for our business.",False,False,IT Application Specialist,"Danieli – Industrielle Beteiligung Co., Ltd","Ho Chi Minh, Ho Chi Minh City, Vietnam",,20/02/2025,,Việt Nam,,,
"COBOL, English, Information Technology, Software Development, Computer Science",2025-02-22,***You ALL can apply to this internship with description as below,False,False,Cobol Developer Intern,Capgemini Vietnam,"Centre Point, 106 Nguyễn Văn Trỗi, Phường 08, Quận Phú Nhuận, Thành phố Hồ Chí Minh",,19/02/2025,,Việt Nam,,,
"Electrical Knowledge, PLC Programming, AutoCAD Pro, Robotic System Simulation, C++",2025-04-09,DETAILED ACTIVITIES:,False,False,Automation & Controls,FORD Vietnam Limited,"Nhà máy Ford, Hải Dương",,14/03/2025,,Việt Nam,,,
"STEM, CISSP, Security, Security Infrastructure, Security Information",2025-03-22,"We are looking for a dedicated Cyber System Security to ensure the cyber security standards and port facility security plan of Gemalink Terminal are implemented and observed at all time. In the role you will operate independently and as part of a team to ensure our software, hardware, and related components are protected from cyber attacks.",False,False,Cyber System Security Officer,Công Ty Cổ Phần Cảng Cái Mép Gemadept-Terminal Link,"Tân Lộc Hamlet, Phước Hòa Ward, Phú Mỹ Town, Bà Rịa – Vũng Tàu Province, Việt Nam",,05/03/2025,,Việt Nam,,,
"Product Development, Phát Triển Sản Phẩm, Business Intelligence, Business analysis, Power BI",2025-03-18,•	Define the product vision and identify growth opportunities to deliver on the customer value proposition,False,False,"Officer, Product Development – Credit Solution",Techcombank,"HO, Số 6 Phố Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",,03/03/2025,,Việt Nam,,,
"User Support, SLA Control, Asset Management, IT Administration, IT Operations",2025-03-26,- Receive/manage/coordinate support requests from users to ensure SLA,False,False,IT Infra Staff,Công Ty TNHH LG Innotek Việt Nam Hải Phòng,"Hai Phong, Vietnam",,07/03/2025,,Việt Nam,,,
"DBA, Database Administration, Cơ Sở Dữ Liệu, SQL",2025-02-26,"- Cài đặt, cấu hình, nâng cấp, quản trị, giám sát, bảo trì và bảo mật cơ sở dữ liệu Rdbms (Oracle, Postgresql, Mariadb…) hoặc NoSQL (Mongodb, ElasticSearch…)  trong datacenter hoặc trên cloud. ",False,False,VietinBank Tuyển Dụng - CV Quản Trị CSDL DBA / Kỹ Sư Dữ Liệu Bigdata,Ngân Hàng TMCP Công Thương Việt Nam (VietinBank),"Hà Nội, Việt Nam",,21/02/2025,,Việt Nam,,,
"IT Service Management, Application Support, Cloud Platform, Leadership, Aws",2025-03-04,Job Summary,False,False,Assistant Application Support Manager,Công Ty TNHH Bảo Hiểm Liberty,"Tầng 18, Tòa nhà Vincom, 45A Lý Tự Trọng, Phường Bến Nghé, Quận 1",,24/02/2025,,Việt Nam,,,
