job_title,job_location,company,search_city,job_skills,last_processed_time,first_seen,search_country,search_position,job_level,job_type
Phiên Dịch Viên,"Vĩnh Phương, Khánh Hòa",Công ty TNHH SX TM VĨNH PHƯƠNG đại diện cho Công ty TNHH SX TM VĨNH PHƯƠNG,Khánh Hòa,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Bảo Trì,"Biên Hòa, Đồng Nai",Công Ty Cổ phần Dinh dưỡng động vật Vietswan đại diện cho Công Ty Cổ phần Dinh dưỡng động vật Vietswan,Đồng Nai,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Tuyển Dụng,"Quận Thủ Đức, Hồ Chí Minh",GPG đại diện cho GPG,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Phiên Dịch Viên,Hải Phòng,CÔNG TY TNHH Y-TEC VIỆT NAM,Hải Phòng,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Lễ Tân,"Quận 1, Hồ Chí Minh",Công ty CP DV-ĐT 168,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Tài Xế Chuyên Nghiệp,Đà Nẵng,Công ty TNHH Xây Lắp Ba Đình,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
Công Nhân,Hải Phòng,Công ty TNHH TM Sao Mai,Hải Phòng,,24/03/2025,24/03/2025,Việt Nam,,,
Quản Lý Đảm Bảo Chất Lượng,Tây Ninh,Công ty TNHH QL VietNam Agroresources đại diện cho Công ty TNHH QL VietNam Agroresources,Tây Ninh,,24/03/2025,24/03/2025,Việt Nam,,,
Bếp Trưởng,"Hội An, Quảng Nam",Nhà hàng Esco Beach Hội An đại diện cho Công ty TNHH Esco Beach,Quảng Nam,,24/03/2025,24/03/2025,Việt Nam,,,
Kế Toán Viên Nhân Viên,Hồ Chí Minh,CÔNG TY CỔ PHẦN HÓA MỸ PHẨM TỰ NHIÊN đại diện cho CÔNG TY CP HÓA MỸ PHẨM TỰ NHIÊN,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Sư Chất Lượng,"Quận Hai Bà Trưng, Hà Nội",TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG đại diện cho TỔNG CÔNG TY CỔ PHẦN THƯƠNG MẠI XÂY DỰNG,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Cộng Tác Viên Truyền Thông Tiếp Thị,"Bình Thạnh, Hồ Chí Minh",Công ty VINAMR Marketing Research &amp; Consultants đại diện cho AMR Group,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Tân Bình, Hồ Chí Minh",Freelance Headhunter đại diện cho Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Sáng Tạo,"Quận 1, Hồ Chí Minh",CÔNG TY TNHH TRUYỀN THÔNG VÀ QUẢNG CÁO THẾ HỆ Z (GENZ VIET),Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Kỹ Thuật Viên Điện,Hưng Yên,JobsGO đại diện cho Công Ty TNHH DSM Vina,Hưng Yên,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Phục Vụ Nhà Hàng,Đà Nẵng,ESCO BEACH đại diện cho ESCO BEACH,Đà Nẵng,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,"Quận Hoàn Kiếm, Hà Nội",CÔNG TY TNHH KKDAY VIỆT NAM,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
Chuyên Viên Marketing,"Tân Bình, Hồ Chí Minh",Freelance Headhunter,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,"
Chuyên Viên Tư Vấn Di Trú,"Quận 12, Hồ Chí Minh",CÔNG TY TNHH TƯ VẤN GIẢI PHÁP ĐỊNH CƯ ICAVIET đại diện cho CÔNG TY TNHH TƯ VẤN GIẢI PHÁP ĐỊNH CƯ ICAVIET,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Tư Vấn Bán Hàng Và Thiết Kế,"Quận 12, Hồ Chí Minh",CÔNG TY TNHH TMDV CÔNG NGHỆ VPS,Hồ Chí Minh,,24/03/2025,24/03/2025,Việt Nam,,,
Nhà Phát Triển Full Stack,"Bình Thạnh, Hồ Chí Minh",REERACOEN VIỆT NAM,Hồ Chí Minh,"python, php, etl, machine learning, deep learning, deploy",24/03/2025,24/03/2025,Việt Nam,"engineer, manager",manager,
Nhân Viên Phục Vụ Hồ Bơi,Thừa Thiên-Huế,SBH GLORIA HUE,Thừa Thiên-Huế,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Bán Hàng,Nam Định,KingBee đại diện cho AQUA,Nam Định,,24/03/2025,24/03/2025,Việt Nam,,,
Người Lập Kế Hoạch Sản Xuất,Bến Tre,Công ty Tnhh May Mặc Alliance One đại diện cho Công ty Tnhh May Mặc Alliance One,Bến Tre,,24/03/2025,24/03/2025,Việt Nam,,,
Nhân Viên Kinh Doanh,Hà Nội,Công ty TNHH Đầu Tư và Tư Vấn EUREKA đại diện cho Công ty TNHH Đầu Tư  Và Tư Vấn EUREKA,Hà Nội,,24/03/2025,24/03/2025,Việt Nam,,,
